ano,mes,partido,regiao,parlamentar,descricao,valor_documento,valor_glosa,valor_liquido
2020,1,DEM,Sudeste,P001,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,35.05,1.67,33.38
2020,1,DEM,Sudeste,P001,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,67.5,0.0,67.5
2020,1,DEM,Sudeste,P001,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,195.13,3.46,191.67
2020,2,DEM,Sudeste,P001,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,413.13,16.41,396.72
2020,2,DEM,Sudeste,P001,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,421.75,16.75,405.0
2020,2,DEM,Sudeste,P001,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,430.37,17.09,413.28
2020,2,DEM,Sudeste,P001,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,439.31,17.45,421.86
2020,1,DEM,Sudeste,P001,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,4500.0,0.0,4500.0
2020,1,DEM,Sudeste,P001,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,480.0,0.0,480.0
2020,1,DEM,Sudeste,P001,COMBUSTÍVEIS E LUBRIFICANTES.,237.54,0.0,237.54
2020,1,DEM,Sudeste,P001,COMBUSTÍVEIS E LUBRIFICANTES.,177.72,0.0,177.72
2020,1,DEM,Sudeste,P001,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
2020,2,DEM,Sudeste,P001,COMBUSTÍVEIS E LUBRIFICANTES.,50.0,0.0,50.0
